layer,head,k,iou_score,program_idxs_used
1,2,18,0.642,62|9|47|1|6|21|0|42|69|41|5|49|33|68|17|52|55|56
1,2,19,0.642,62|9|47|1|6|21|0|42|69|41|5|49|33|68|17|52|55|56|23
1,2,20,0.642,62|9|47|1|6|21|0|42|69|41|5|49|33|68|17|52|55|56|23|27
1,3,1,0.349,33
1,3,2,0.349,33|68
1,3,3,0.593,33|68|17
1,3,4,0.594,33|68|17|55
1,3,5,0.594,33|68|17|55|23
1,3,6,0.594,33|68|17|55|23|27
1,3,7,0.589,33|68|17|55|23|27|64
1,3,8,0.611,33|68|17|55|23|27|64|30
1,3,9,0.635,33|68|17|55|23|27|64|30|36
1,3,10,0.636,33|68|17|55|23|27|64|30|36|32
1,3,11,0.636,33|68|17|55|23|27|64|30|36|32|24
1,3,12,0.638,33|68|17|55|23|27|64|30|36|32|24|18
1,3,13,0.644,33|68|17|55|23|27|64|30|36|32|24|18|2
1,3,14,0.645,33|68|17|55|23|27|64|30|36|32|24|18|2|58
1,3,15,0.646,33|68|17|55|23|27|64|30|36|32|24|18|2|58|28
1,3,16,0.646,33|68|17|55|23|27|64|30|36|32|24|18|2|58|28|59
1,3,17,0.646,33|68|17|55|23|27|64|30|36|32|24|18|2|58|28|59|56
1,3,18,0.646,33|68|17|55|23|27|64|30|36|32|24|18|2|58|28|59|56|14
1,3,19,0.646,33|68|17|55|23|27|64|30|36|32|24|18|2|58|28|59|56|14|52
1,3,20,0.646,33|68|17|55|23|27|64|30|36|32|24|18|2|58|28|59|56|14|52|9
1,4,1,0.324,62
1,4,2,0.335,62|9
1,4,3,0.429,62|9|33
1,4,4,0.429,62|9|33|68
1,4,5,0.449,62|9|33|68|47
1,4,6,0.512,62|9|33|68|47|1
1,4,7,0.521,62|9|33|68|47|1|21
1,4,8,0.548,62|9|33|68|47|1|21|6
1,4,9,0.548,62|9|33|68|47|1|21|6|49
1,4,10,0.55,62|9|33|68|47|1|21|6|49|0
1,4,11,0.726,62|9|33|68|47|1|21|6|49|0|69
1,4,12,0.726,62|9|33|68|47|1|21|6|49|0|69|42
1,4,13,0.726,62|9|33|68|47|1|21|6|49|0|69|42|41
1,4,14,0.726,62|9|33|68|47|1|21|6|49|0|69|42|41|17
1,4,15,0.728,62|9|33|68|47|1|21|6|49|0|69|42|41|17|55
1,4,16,0.728,62|9|33|68|47|1|21|6|49|0|69|42|41|17|55|59
1,4,17,0.728,62|9|33|68|47|1|21|6|49|0|69|42|41|17|55|59|23
1,4,18,0.728,62|9|33|68|47|1|21|6|49|0|69|42|41|17|55|59|23|30
1,4,19,0.728,62|9|33|68|47|1|21|6|49|0|69|42|41|17|55|59|23|30|27
1,4,20,0.728,62|9|33|68|47|1|21|6|49|0|69|42|41|17|55|59|23|30|27|64
1,5,1,0.253,62
1,5,2,0.26,62|9
1,5,3,0.34,62|9|17
1,5,4,0.377,62|9|17|33
1,5,5,0.377,62|9|17|33|68
1,5,6,0.377,62|9|17|33|68|41
1,5,7,0.408,62|9|17|33|68|41|47
1,5,8,0.42,62|9|17|33|68|41|47|21
1,5,9,0.42,62|9|17|33|68|41|47|21|1
1,5,10,0.439,62|9|17|33|68|41|47|21|1|6
1,5,11,0.439,62|9|17|33|68|41|47|21|1|6|52
1,5,12,0.442,62|9|17|33|68|41|47|21|1|6|52|0
1,5,13,0.441,62|9|17|33|68|41|47|21|1|6|52|0|49
1,5,14,0.446,62|9|17|33|68|41|47|21|1|6|52|0|49|42
1,5,15,0.556,62|9|17|33|68|41|47|21|1|6|52|0|49|42|69
1,5,16,0.557,62|9|17|33|68|41|47|21|1|6|52|0|49|42|69|55
1,5,17,0.557,62|9|17|33|68|41|47|21|1|6|52|0|49|42|69|55|59
1,5,18,0.557,62|9|17|33|68|41|47|21|1|6|52|0|49|42|69|55|59|5
1,5,19,0.557,62|9|17|33|68|41|47|21|1|6|52|0|49|42|69|55|59|5|23
1,5,20,0.557,62|9|17|33|68|41|47|21|1|6|52|0|49|42|69|55|59|5|23|64
1,6,1,0.299,62
1,6,2,0.307,62|9
1,6,3,0.422,62|9|33
1,6,4,0.422,62|9|33|68
1,6,5,0.422,62|9|33|68|6
1,6,6,0.494,62|9|33|68|6|1
1,6,7,0.519,62|9|33|68|6|1|21
1,6,8,0.527,62|9|33|68|6|1|21|47
1,6,9,0.528,62|9|33|68|6|1|21|47|0
1,6,10,0.529,62|9|33|68|6|1|21|47|0|49
1,6,11,0.529,62|9|33|68|6|1|21|47|0|49|55
1,6,12,0.529,62|9|33|68|6|1|21|47|0|49|55|23
1,6,13,0.529,62|9|33|68|6|1|21|47|0|49|55|23|27
1,6,14,0.531,62|9|33|68|6|1|21|47|0|49|55|23|27|64
1,6,15,0.531,62|9|33|68|6|1|21|47|0|49|55|23|27|64|30
1,6,16,0.537,62|9|33|68|6|1|21|47|0|49|55|23|27|64|30|32
1,6,17,0.537,62|9|33|68|6|1|21|47|0|49|55|23|27|64|30|32|36
1,6,18,0.537,62|9|33|68|6|1|21|47|0|49|55|23|27|64|30|32|36|2
1,6,19,0.538,62|9|33|68|6|1|21|47|0|49|55|23|27|64|30|32|36|2|58
1,6,20,0.538,62|9|33|68|6|1|21|47|0|49|55|23|27|64|30|32|36|2|58|24
1,7,1,0.339,62
1,7,2,0.349,62|9
1,7,3,0.351,62|9|47
1,7,4,0.452,62|9|47|1
1,7,5,0.454,62|9|47|1|6
1,7,6,0.491,62|9|47|1|6|21
1,7,7,0.492,62|9|47|1|6|21|0
1,7,8,0.492,62|9|47|1|6|21|0|49
1,7,9,0.492,62|9|47|1|6|21|0|49|68
1,7,10,0.541,62|9|47|1|6|21|0|49|68|33
1,7,11,0.731,62|9|47|1|6|21|0|49|68|33|69
1,7,12,0.731,62|9|47|1|6|21|0|49|68|33|69|42
1,7,13,0.731,62|9|47|1|6|21|0|49|68|33|69|42|41
1,7,14,0.731,62|9|47|1|6|21|0|49|68|33|69|42|41|5
1,7,15,0.732,62|9|47|1|6|21|0|49|68|33|69|42|41|5|55
1,7,16,0.732,62|9|47|1|6|21|0|49|68|33|69|42|41|5|55|23
1,7,17,0.732,62|9|47|1|6|21|0|49|68|33|69|42|41|5|55|23|64
1,7,18,0.732,62|9|47|1|6|21|0|49|68|33|69|42|41|5|55|23|64|27
1,7,19,0.732,62|9|47|1|6|21|0|49|68|33|69|42|41|5|55|23|64|27|30
1,7,20,0.732,62|9|47|1|6|21|0|49|68|33|69|42|41|5|55|23|64|27|30|24
1,8,1,0.339,62
1,8,2,0.349,62|9
1,8,3,0.349,62|9|47
1,8,4,0.445,62|9|47|1
1,8,5,0.447,62|9|47|1|6
1,8,6,0.487,62|9|47|1|6|21
1,8,7,0.488,62|9|47|1|6|21|49
1,8,8,0.697,62|9|47|1|6|21|49|69
1,8,9,0.695,62|9|47|1|6|21|49|69|42
1,8,10,0.704,62|9|47|1|6|21|49|69|42|33
1,8,11,0.704,62|9|47|1|6|21|49|69|42|33|68
1,8,12,0.708,62|9|47|1|6|21|49|69|42|33|68|0
1,8,13,0.708,62|9|47|1|6|21|49|69|42|33|68|0|41
1,8,14,0.708,62|9|47|1|6|21|49|69|42|33|68|0|41|5
1,8,15,0.708,62|9|47|1|6|21|49|69|42|33|68|0|41|5|52
1,8,16,0.708,62|9|47|1|6|21|49|69|42|33|68|0|41|5|52|55
1,8,17,0.708,62|9|47|1|6|21|49|69|42|33|68|0|41|5|52|55|23
1,8,18,0.708,62|9|47|1|6|21|49|69|42|33|68|0|41|5|52|55|23|27
1,8,19,0.709,62|9|47|1|6|21|49|69|42|33|68|0|41|5|52|55|23|27|64
1,8,20,0.709,62|9|47|1|6|21|49|69|42|33|68|0|41|5|52|55|23|27|64|30
1,9,1,0.279,62
1,9,2,0.279,62|68
1,9,3,0.405,62|68|33
1,9,4,0.413,62|68|33|9
1,9,5,0.531,62|68|33|9|55
1,9,6,0.541,62|68|33|9|55|23
1,9,7,0.541,62|68|33|9|55|23|27
1,9,8,0.541,62|68|33|9|55|23|27|64
1,9,9,0.552,62|68|33|9|55|23|27|64|30
1,9,10,0.554,62|68|33|9|55|23|27|64|30|58
1,9,11,0.554,62|68|33|9|55|23|27|64|30|58|24
1,9,12,0.554,62|68|33|9|55|23|27|64|30|58|24|18
1,9,13,0.554,62|68|33|9|55|23|27|64|30|58|24|18|2
