layer,head,k,iou_score,program_idxs_used
1,9,4,0.577,49|42|69|21
1,9,5,0.577,49|42|69|21|1
1,9,6,0.577,49|42|69|21|1|6
1,9,7,0.577,49|42|69|21|1|6|47
1,9,8,0.577,49|42|69|21|1|6|47|0
1,9,9,0.578,49|42|69|21|1|6|47|0|41
1,9,10,0.578,49|42|69|21|1|6|47|0|41|5
1,9,11,0.667,49|42|69|21|1|6|47|0|41|5|59
1,9,12,0.667,49|42|69|21|1|6|47|0|41|5|59|62
1,9,13,0.668,49|42|69|21|1|6|47|0|41|5|59|62|70
1,9,14,0.668,49|42|69|21|1|6|47|0|41|5|59|62|70|9
1,9,15,0.669,49|42|69|21|1|6|47|0|41|5|59|62|70|9|61
1,9,16,0.67,49|42|69|21|1|6|47|0|41|5|59|62|70|9|61|53
1,9,17,0.67,49|42|69|21|1|6|47|0|41|5|59|62|70|9|61|53|22
1,9,18,0.67,49|42|69|21|1|6|47|0|41|5|59|62|70|9|61|53|22|54
1,9,19,0.677,49|42|69|21|1|6|47|0|41|5|59|62|70|9|61|53|22|54|60
1,9,20,0.682,49|42|69|21|1|6|47|0|41|5|59|62|70|9|61|53|22|54|60|31
1,10,1,0.358,62
1,10,2,0.365,62|6
1,10,3,0.365,62|6|1
1,10,4,0.365,62|6|1|21
1,10,5,0.365,62|6|1|21|47
1,10,6,0.363,62|6|1|21|47|70
1,10,7,0.364,62|6|1|21|47|70|0
1,10,8,0.377,62|6|1|21|47|70|0|49
1,10,9,0.383,62|6|1|21|47|70|0|49|9
1,10,10,0.383,62|6|1|21|47|70|0|49|9|69
1,10,11,0.383,62|6|1|21|47|70|0|49|9|69|42
